Description,Color
NoAction,4
A Spring Low,1
A Both Low,1
S Spring Low,1
S Summer Low,1
A Summer Low,1
S Both Low,1
S+A Spring Low,1
S+A Summer Low,1
HH Spring Low,2
HH Summer Low,2
HH Both Low,2
HH+A Spring Low,2
HH+A Summer Low,2
HH+A Both Low,2
HH+S Spring Low,2
HH+S Summer Low,2
HH+S Both Low,2
HH+S+A Spring Low,2
HH+S+A Summer Low,2
HH+S+A Both Low,2
HM Spring Low,3
HM Summer Low,3
HM Both Low,3
HM+A Spring Low,3
HM+A Summer Low,3
HM+A Both Low,3
HM+S Spring Low,3
HM+S Summer Low,3
HM+S Both Low,3
HM+S+A Spring Low,3
HM+S+A Summer Low,3
HM+S+A Both Low,3
HH+A Spring LowMed,2
HH+A Summer LowMed,2
HH+A Both LowMed,2
HH+S Spring LowMed,2
HH+S Summer LowMed,2
HH+S Both LowMed,2
HH+S+A Spring LowMed,2
HH+S+A Summer LowMed,2
HH+S+A Both LowMed,2
HH Spring LowMed,2
HH Summer LowMed,1
HH Both LowMed,1
