year,day,month,doy,Baseline,Alternative
IsletaDry,NA,NA,NA,-1,-1
SanAcaciaDry,NA,NA,NA,-1,-1
2023,1,1,1,862.46875,0
2023,2,1,2,898.46875,0
2023,3,1,3,872.8645833,0
2023,4,1,4,605.53125,0
2023,5,1,5,484.8125,0
2023,6,1,6,448.7604167,0
2023,7,1,7,408.9166667,0
2023,8,1,8,389.6145833,0
2023,9,1,9,391.2083333,0
2023,10,1,10,390.9375,0
2023,11,1,11,386.5833333,0
2023,12,1,12,441.0520833,0
2023,13,1,13,469.46875,0
2023,14,1,14,486.1770833,0
2023,15,1,15,490.5625,0
2023,16,1,16,509,0
2023,17,1,17,523.8333333,0
2023,18,1,18,538.96875,0
2023,19,1,19,518.7708333,0
2023,20,1,20,508.59375,0
2023,21,1,21,511.6770833,0
2023,22,1,22,508.7083333,0
2023,23,1,23,512.09375,0
2023,24,1,24,521.28125,0
2023,25,1,25,452.5833333,0
2023,26,1,26,386.53125,0
2023,27,1,27,351.25,0
2023,28,1,28,351.75,0
2023,29,1,29,352,0
2023,30,1,30,362.8125,0
2023,31,1,31,352.4375,0
2023,1,2,32,346.9375,0
2023,2,2,33,372.0625,-37.20625
2023,3,2,34,396.2395833,-39.62395833
2023,4,2,35,391.21875,-39.121875
2023,5,2,36,400.7916667,-40.07916667
2023,6,2,37,401.8541667,-40.18541667
2023,7,2,38,400.8125,-40.08125
2023,8,2,39,408.28125,-40.828125
2023,9,2,40,419.8854167,-41.98854167
2023,10,2,41,431.3125,-43.13125
2023,11,2,42,461.4791667,-46.14791667
2023,12,2,43,483.1666667,-48.31666667
2023,13,2,44,493.375,-49.3375
2023,14,2,45,540.9375,-54.09375
2023,15,2,46,574.78125,-57.478125
2023,16,2,47,573.8958333,-57.38958333
2023,17,2,48,551.03125,-55.103125
2023,18,2,49,528.5,-52.85
2023,19,2,50,538.9583333,-53.89583333
2023,20,2,51,527.0416667,-52.70416667
2023,21,2,52,517.1666667,-51.71666667
2023,22,2,53,514.2291667,-51.42291667
2023,23,2,54,518.5,-51.85
