Year,CentralSpringVol,CentralMin,CentralSpringAvg,DaysCentSpring1500,DaysCentSpring2000,DaysCentSpring2500,DaysCentSpring3000,SanAca_MileDayDry,Isleta_MileDayDry,FloodTiming,PC1,PC2
2016,230909.75,110,1908.48,35,26,23,6,608.6,303.25,160,-0.374644661,-0.345160456
2015,181493.55,166,1500.05,26,18,6,0,112,139.25,147,-0.951676501,-0.851757412
2014,107571.57,112,889.08,4,0,0,0,526.2,45.5,133,-2.139316187,-0.547186849
2013,69953.06,53,578.16,0,0,0,0,913.2,265.8,128,-2.69113469,0.159002055
2012,79031.4,109,653.2,0,0,0,0,2552.2,1759.9,123,-3.75480917,3.050280848
2011,101291.9,137,837.18,0,0,0,0,1196.5,547.5,163,-2.360911687,-0.573350892
2010,287168.93,148,2373.46,43,40,34,19,723.9,268.35,145,0.468712458,0.449486693
2009,358139.5,214,2960.03,47,45,39,34,261.9,0,149,1.566975552,-0.115522682
2008,433943.8,296,3586.56,61,59,55,46,0,6.9,149,2.880637734,0.038932171
2007,234327.27,242,1936.72,37,31,20,10,437.3,254.4,143,-0.064614381,-0.179647026
2006,85505.45,321,706.7,0,0,0,0,409.2,23.5,181,-1.486504472,-2.670875726
2005,607477.69,195,5020.82,61,61,61,58,970.05,6.55,157,3.517452212,0.921448661
2004,162208.26,104,1340.66,22,18,10,5,2291.95,538.1,137,-1.807378457,1.320070057
2003,74417.85,117,615.07,0,0,0,0,214.25,14.1,151,-2.096005331,-1.414094582
2002,82635.37,115,682.98,0,0,0,0,1058.35,0,138,-2.331378596,-0.540538786
2001,220893.22,294,1825.69,39,22,11,2,253.6454767,4.163455152,143,-0.196586705,-0.897423881
2000,119440.66,336,987.18,1,0,0,0,112.361022,0,159,-1.408023295,-2.133860422
1999,379021.49,502,3132.62,60,57,48,31,0,0,155,2.735168438,-0.855884146
1998,276632.73,459,2286.38,40,37,35,23,81.2188033,0,130,1.166968659,-0.432388749
1997,479107.44,471,3959.84,60,52,45,43,0,0,165,3.199682199,-0.919226035
1996,78085.29,174,645.38,0,0,0,0,510.0219796,63.44698293,182,-1.826300356,-2.297781361
1995,620152.07,453,5125.57,61,61,61,61,0,0,146,4.213062558,0.237595049
1994,566340.5,321,4680.82,61,61,61,60,168.9870176,0,136,3.633093856,0.840823712
1993,622214.88,361,5142.62,61,61,61,59,49.61190572,0,160,4.114782591,-0.003293479
2017,378994.5255,302.71875,3132.392077,48,47,45,40,742.1,21.1,141,1.865076174,0.376120626
2018,59314.92481,92.834375,490.2382172,0,0,0,0,2982.5,237.8,142,-2.956226086,0.698629997
2019,547905.3304,234.4166667,4528.440915,61,61,61,61,278.8,0,170,3.651433691,-0.027038701
2020,65913.28504,90.81145833,544.7737049,0,0,0,0,3794.6,1015.24,126,-3.6548724,2.678930027
2021,121497.9606,51.49895833,1004.18139,12,0,0,0,1055.9,474.7,133,-2.43214641,0.486981652
2022,83786.97103,0,692.4998292,6,0,0,0,926.9,203.6,125,-2.642989973,0.34347974
2023,515223.9225,36.66024096,4258.328879,61,61,60,59,2606.5,357.3,134,2.162473234,3.203249898
